胫骨时间(ms),胫骨偏移(mm),股骨远端时间(ms),股骨远端偏移(mm),股骨前侧时间(ms),股骨前侧偏移(mm),股骨后侧时间(ms),股骨后侧偏移(mm),股骨后斜时间(ms),股骨后斜偏移(mm),股骨前斜时间(ms),股骨前斜偏移(mm)
,,49626,-0.374,,,,,,,49456,0.906
,,49726,-0.46,,,,,,,49556,0.936
,,49826,-0.528,,,,,,,49656,0.832
,,49926,-0.678,,,,,,,49739,0.893
,,50026,-0.616,,,,,,,49839,0.924
,,50126,-0.515,,,,,,,49939,1.081
,,50226,-0.499,,,,,,,50030,0.773
,,50326,-0.457,,,,,,,50131,0.725
,,50426,-0.513,,,,,,,50231,1.119
,,50526,-0.654,,,,,,,50310,1.042
,,50626,-0.568,,,,,,,50400,0.892
,,50709,-0.462,,,,,,,50500,0.942
,,50809,-0.552,,,,,,,50583,0.721
,,50909,-0.444,,,,,,,50683,0.622
,,51009,-0.391,,,,,,,50783,0.65
,,51110,-0.352,,,,,,,50867,0.628
,,51209,-0.528,,,,,,,50967,0.736
,,51309,-0.575,,,,,,,51067,0.824
,,51409,-0.485,,,,,,,51167,0.85
,,51509,-0.497,,,,,,,51267,0.774
,,51609,-0.314,,,,,,,51367,1.028
,,51710,-0.212,,,,,,,51449,0.951
,,51809,-0.231,,,,,,,51549,1.163
,,51909,-0.212,,,,,,,51638,1.015
,,52009,-0.092,,,,,,,51729,0.944
,,52109,-0.019,,,,,,,51829,1.293
,,52209,-0.226,,,,,,,51924,0.8
,,52309,0.068,,,,,,,52024,1.733
,,52409,-0.127,,,,,,,52106,0.498
,,52509,0.039,,,,,,,52202,0.379
,,52609,0.213,,,,,,,52306,0.36
,,52710,0.216,,,,,,,52406,0.429
,,52809,0.129,,,,,,,52506,0.638
,,52910,-0.311,,,,,,,52606,0.494
,,53009,-0.454,,,,,,,52706,0.626
,,53109,-0.49,,,,,,,52806,0.701
,,53209,-0.334,,,,,,,52906,0.624
,,53310,-0.259,,,,,,,53006,0.772
,,53409,-0.316,,,,,,,53106,0.698
,,53509,-0.375,,,,,,,53206,0.669
,,53609,-0.22,,,,,,,53306,0.702
,,53709,-0.279,,,,,,,53406,0.447
,,53809,-0.326,,,,,,,53506,0.277
,,53909,-0.44,,,,,,,53606,0.205
,,54009,-0.451,,,,,,,53706,0.372
,,54110,-0.272,,,,,,,53806,0.227
,,54193,-0.269,,,,,,,53906,0.303
,,54293,-0.379,,,,,,,54006,0.127
,,54393,-0.305,,,,,,,54106,0.187
,,54493,-0.275,,,,,,,54206,0.401
,,54593,-0.141,,,,,,,54306,0.287
,,54693,-0.054,,,,,,,54406,0.24
,,54793,-0.368,,,,,,,54506,0.33
,,54893,-0.456,,,,,,,54606,0.596
,,54993,-0.305,,,,,,,54706,0.677
,,55093,-0.202,,,,,,,54806,0.511
,,55193,-0.154,,,,,,,54906,0.81
,,55293,-0.018,,,,,,,55006,0.791
,,55393,-0.138,,,,,,,55106,0.75
,,55493,-0.128,,,,,,,55206,0.737
,,55593,-0.157,,,,,,,55306,0.912
,,55693,0.005,,,,,,,55406,0.933
,,55793,-0.126,,,,,,,55506,0.717
,,55893,-0.065,,,,,,,55589,0.961
,,55993,-0.327,,,,,,,55689,0.835
,,56093,-0.375,,,,,,,55789,0.718
,,56193,-0.373,,,,,,,55873,0.682
,,56293,-0.069,,,,,,,55973,0.792
,,56393,0.107,,,,,,,56056,0.866
,,56493,0.273,,,,,,,56156,0.7
,,56593,0.302,,,,,,,56256,0.965
,,56693,0.248,,,,,,,56339,0.815
,,56793,0.178,,,,,,,56439,0.924
,,56893,0.501,,,,,,,56539,0.732
,,56993,0.304,,,,,,,56639,0.461
,,57093,0.277,,,,,,,56739,0.553
,,57193,0.268,,,,,,,56839,0.51
,,57293,0.135,,,,,,,56939,0.647
,,57393,0.337,,,,,,,57039,0.527
,,57493,0.309,,,,,,,57139,0.778
,,57593,0.35,,,,,,,57239,0.877
,,57693,0.217,,,,,,,57339,1.148
,,57793,0.109,,,,,,,57440,1.255
,,57893,0.141,,,,,,,57509,0.932
,,57976,0.06,,,,,,,57608,1.143
,,58060,-0.012,,,,,,,57689,1.213
,,58143,-0.064,,,,,,,57757,0.968
,,58243,-0.113,,,,,,,57859,0.93
,,58326,0.028,,,,,,,57934,0.584
,,58426,0.065,,,,,,,58050,0.51
,,58526,-0.009,,,,,,,58142,0.877
,,58626,-0.03,,,,,,,58235,0.679
,,58726,0.074,,,,,,,58335,0.885
,,58826,0.135,,,,,,,58426,1.07
,,58926,-0.053,,,,,,,58507,1.09
,,59026,-0.142,,,,,,,58583,0.8
,,59110,-0.02,,,,,,,58681,0.592
,,59210,-0.066,,,,,,,58765,0.375
,,59310,-0.179,,,,,,,58865,0.026
,,59393,0.167,,,,,,,58965,0.334
,,59493,-0.007,,,,,,,59048,0.3
,,59576,0.151,,,,,,,59148,0.3
,,59676,0.011,,,,,,,59231,0.385
,,59776,0.183,,,,,,,59331,0.274
,,59860,-0.05,,,,,,,59431,0.257
,,59960,0.112,,,,,,,59531,0.468
,,60060,0.084,,,,,,,59632,0.43
,,60160,0.125,,,,,,,59715,0.487
,,60260,-0.025,,,,,,,59815,0.286
,,60360,-0.053,,,,,,,59915,0.537
,,60460,-0.105,,,,,,,60015,0.386
,,60560,-0.078,,,,,,,60115,0.41
,,60660,0.158,,,,,,,60215,0.573
,,60760,0.262,,,,,,,60315,0.565
,,60860,0.374,,,,,,,60415,0.622
,,60960,0.122,,,,,,,60515,0.74
,,61060,0.179,,,,,,,60615,0.556
,,61160,0.02,,,,,,,60715,0.948
,,61260,-0.051,,,,,,,60815,1.183
,,61360,-0.027,,,,,,,60886,0.968
,,61460,0.005,,,,,,,60993,1.481
,,61560,-0.024,,,,,,,61073,0.712
,,61660,-0.054,,,,,,,61173,0.688
,,61760,0.13,,,,,,,61273,0.973
,,61860,0.136,,,,,,,61373,0.973
,,61960,0.162,,,,,,,61444,0.991
,,62060,-0.051,,,,,,,61505,0.992
,,62160,-0.034,,,,,,,61605,1.142
,,62260,-0.102,,,,,,,61677,1.101
,,62343,-0.063,,,,,,,61742,1.009
,,62443,-0.032,,,,,,,61849,1.016
,,62543,-0.2,,,,,,,61940,0.599
,,62626,0.02,,,,,,,62040,0.215
,,62726,-0.05,,,,,,,62140,0.114
,,62810,0.063,,,,,,,62240,-0.146
,,62910,0.082,,,,,,,62323,0.165
,,63010,0.121,,,,,,,62423,0.043
,,63093,-0.022,,,,,,,62523,-0.073
,,63193,0.069,,,,,,,62623,-0.207
,,63293,-0.063,,,,,,,62723,-0.109
,,63393,0.027,,,,,,,62823,-0.23
,,63493,0.022,,,,,,,62923,-0.114
,,63593,0.071,,,,,,,63023,0.192
,,63693,0.027,,,,,,,63123,0.129
,,63793,0.106,,,,,,,63223,0.107
,,63893,0.147,,,,,,,63323,-0.129
,,63993,0.143,,,,,,,63423,-0.27
,,64093,0.117,,,,,,,63523,-0.274
,,64193,-0.017,,,,,,,63623,-0.353
,,64293,0.095,,,,,,,63723,-0.299
,,64393,0.147,,,,,,,63823,-0.145
,,64493,0.088,,,,,,,63923,0.156
,,64593,0.091,,,,,,,64023,0.294
,,64693,-0.011,,,,,,,64123,0.19
,,64793,-0.02,,,,,,,64223,0.252
,,64893,0.058,,,,,,,64323,0.507
,,64993,0.186,,,,,,,64423,0.482
,,65077,0.076,,,,,,,64523,0.15
,,65176,0.215,,,,,,,64623,0.204
,,65277,0.252,,,,,,,64723,0.35
,,65377,0.145,,,,,,,64823,0.073
,,65477,0.093,,,,,,,64923,-0.018
,,65576,0.098,,,,,,,65023,0.365
,,65677,0.081,,,,,,,65123,0.335
,,65777,0.089,,,,,,,65223,-0.039
,,65877,-0.265,,,,,,,65323,0.288
,,65949,-0.371,,,,,,,65423,0.663
,,66042,0.792,,,,,,,65523,0.682
,,66142,1.135,,,,,,,65623,0.794
,,66225,0.395,,,,,,,65723,0.604
,,66325,0.054,,,,,,,65823,0.537
,,66408,0.201,,,,,,,65923,0.565
,,66508,0.322,,,,,,,66007,0.219
,,66591,0.319,,,,,,,66107,0.458
,,66691,0.46,,,,,,,66207,0.286
,,66791,0.362,,,,,,,66307,0.266
,,66891,0.481,,,,,,,66390,0.241
,,66991,0.2,,,,,,,66474,-0.077
,,67091,0.465,,,,,,,66573,0.031
,,67191,0.543,,,,,,,66673,-0.186
,,67291,0.431,,,,,,,66773,0.024
,,67391,0.336,,,,,,,66873,0.235
,,67491,0.181,,,,,,,66957,0.103
,,67591,0.372,,,,,,,67057,0.067
,,67691,0.328,,,,,,,,
,,67791,0.282,,,,,,,,
,,67891,0.203,,,,,,,,
,,67991,0.314,,,,,,,,
,,68091,0.093,,,,,,,,
,,68191,0.216,,,,,,,,
,,68291,0.252,,,,,,,,
,,68391,0.173,,,,,,,,
,,68491,0.031,,,,,,,,
,,68591,0.023,,,,,,,,
,,68691,-0.14,,,,,,,,
,,68791,0.162,,,,,,,,
,,68891,0.051,,,,,,,,
,,68991,0.035,,,,,,,,
,,69075,0.207,,,,,,,,
,,69175,0.214,,,,,,,,
,,69275,0.221,,,,,,,,
,,69358,0.219,,,,,,,,
,,69458,0.222,,,,,,,,
,,69558,0.165,,,,,,,,
,,69641,0.044,,,,,,,,
,,69741,-0.074,,,,,,,,
,,69842,0.099,,,,,,,,
,,69941,0.054,,,,,,,,
,,70041,-0.076,,,,,,,,
,,70125,0.089,,,,,,,,
,,70225,0.147,,,,,,,,
,,70325,0.075,,,,,,,,
,,70425,-0.183,,,,,,,,
,,70525,-0.149,,,,,,,,
,,70625,-0.079,,,,,,,,
,,70725,-0.046,,,,,,,,
,,70825,-0.052,,,,,,,,
,,70925,-0.158,,,,,,,,
,,71025,-0.197,,,,,,,,
,,71125,-0.127,,,,,,,,
,,71225,-0.289,,,,,,,,
,,71325,-0.082,,,,,,,,
,,71425,-0.061,,,,,,,,
,,71525,-0.042,,,,,,,,
,,71625,-0.095,,,,,,,,
,,71725,0.067,,,,,,,,
,,71825,-0.049,,,,,,,,
,,71925,-0.027,,,,,,,,
,,72025,-0.062,,,,,,,,
,,72125,-0.196,,,,,,,,
,,72225,-0.292,,,,,,,,
,,72325,-0.293,,,,,,,,
,,72425,-0.116,,,,,,,,
,,72525,0.02,,,,,,,,
,,72625,0.039,,,,,,,,
,,72725,-0.053,,,,,,,,
,,72825,-0.072,,,,,,,,
,,72925,-0.006,,,,,,,,
,,73025,0.172,,,,,,,,
,,73125,0.113,,,,,,,,
,,73225,0.098,,,,,,,,
,,73308,0.085,,,,,,,,
,,73408,0.068,,,,,,,,
,,73508,-0.003,,,,,,,,
,,73592,0.095,,,,,,,,
,,73692,0.098,,,,,,,,
,,73792,0.036,,,,,,,,
,,73875,0.049,,,,,,,,
,,73975,-0.02,,,,,,,,
,,74058,-0.108,,,,,,,,
,,74158,0.084,,,,,,,,
,,74258,0.139,,,,,,,,
,,74358,-0.018,,,,,,,,
,,74458,-0.047,,,,,,,,
,,74558,-0.018,,,,,,,,
,,74658,0.042,,,,,,,,
,,74758,0.152,,,,,,,,
,,74858,0.089,,,,,,,,
,,74958,-0.14,,,,,,,,
,,75058,-0.1,,,,,,,,
,,75158,-0.047,,,,,,,,
,,75258,0.111,,,,,,,,
,,75358,0.076,,,,,,,,
,,75458,0.247,,,,,,,,
,,75558,0.0,,,,,,,,
,,75658,-0.198,,,,,,,,
,,75758,0.042,,,,,,,,
,,75858,0.062,,,,,,,,
,,75958,0.065,,,,,,,,
,,76058,0.076,,,,,,,,
,,76158,0.042,,,,,,,,
,,76242,0.115,,,,,,,,
,,76342,0.22,,,,,,,,
,,76425,0.241,,,,,,,,
,,76525,-0.053,,,,,,,,
,,76625,0.005,,,,,,,,
,,76725,0.036,,,,,,,,
,,76825,0.051,,,,,,,,
,,76925,-0.024,,,,,,,,
,,77025,0.043,,,,,,,,
,,77125,-0.068,,,,,,,,
,,77225,0.02,,,,,,,,
,,77325,-0.044,,,,,,,,
,,77425,-0.059,,,,,,,,
,,77525,-0.031,,,,,,,,
,,77625,-0.129,,,,,,,,
,,77725,-0.116,,,,,,,,
,,77825,-0.047,,,,,,,,
,,77925,-0.037,,,,,,,,
,,78025,-0.102,,,,,,,,
,,78125,-0.116,,,,,,,,
,,78225,-0.07,,,,,,,,
,,78325,0.062,,,,,,,,
,,78409,-0.054,,,,,,,,
,,78508,0.118,,,,,,,,
,,78608,0.24,,,,,,,,
,,78692,0.061,,,,,,,,
,,78792,-0.0,,,,,,,,
,,78892,0.032,,,,,,,,
,,78975,0.038,,,,,,,,
,,79075,-0.049,,,,,,,,
,,79159,0.249,,,,,,,,
,,79259,0.213,,,,,,,,
,,79358,-0.031,,,,,,,,
,,79458,0.155,,,,,,,,
,,79558,0.246,,,,,,,,
,,79658,0.221,,,,,,,,
,,79758,0.281,,,,,,,,
,,79858,0.185,,,,,,,,
,,79958,0.082,,,,,,,,
,,80058,0.156,,,,,,,,
,,80158,0.381,,,,,,,,
,,80258,0.219,,,,,,,,
,,80358,0.245,,,,,,,,
,,80458,0.215,,,,,,,,
,,80558,-0.034,,,,,,,,
,,80658,0.185,,,,,,,,
,,80758,0.239,,,,,,,,
,,80858,0.295,,,,,,,,
,,80958,-0.006,,,,,,,,
,,81059,0.007,,,,,,,,
,,81158,-0.076,,,,,,,,
,,81259,0.159,,,,,,,,
,,81358,0.319,,,,,,,,
,,81458,0.295,,,,,,,,
,,81542,0.19,,,,,,,,
,,81642,0.358,,,,,,,,
,,81742,0.198,,,,,,,,
,,81825,0.062,,,,,,,,
,,81925,0.13,,,,,,,,
,,82025,0.162,,,,,,,,
,,82125,0.053,,,,,,,,
,,82225,0.392,,,,,,,,
,,82325,0.381,,,,,,,,
,,82425,0.154,,,,,,,,
,,82525,0.256,,,,,,,,
,,82625,0.366,,,,,,,,
,,82725,0.389,,,,,,,,
,,82825,0.199,,,,,,,,
,,82925,0.156,,,,,,,,
,,83025,0.169,,,,,,,,
,,83125,0.147,,,,,,,,
,,83225,0.198,,,,,,,,
,,83325,0.269,,,,,,,,
,,83425,0.271,,,,,,,,
,,83525,0.176,,,,,,,,
,,83625,0.109,,,,,,,,
,,83725,0.349,,,,,,,,
,,83825,0.378,,,,,,,,
,,83925,0.396,,,,,,,,
,,84025,0.34,,,,,,,,
,,84125,0.293,,,,,,,,
,,84225,0.295,,,,,,,,
,,84325,0.299,,,,,,,,
,,84425,0.494,,,,,,,,
,,84525,0.492,,,,,,,,
,,84625,0.359,,,,,,,,
,,84709,0.509,,,,,,,,
,,84809,0.399,,,,,,,,
,,84892,0.29,,,,,,,,
,,84992,0.52,,,,,,,,
,,85092,0.481,,,,,,,,
,,85192,0.334,,,,,,,,
,,85292,0.274,,,,,,,,
,,85392,0.196,,,,,,,,
,,85492,0.248,,,,,,,,
,,85592,0.487,,,,,,,,
,,85692,0.313,,,,,,,,
,,85792,0.191,,,,,,,,
,,85892,0.106,,,,,,,,
,,85992,0.178,,,,,,,,
,,86092,0.303,,,,,,,,
,,86175,0.319,,,,,,,,
,,86275,0.257,,,,,,,,
,,86375,0.266,,,,,,,,
,,86475,0.296,,,,,,,,
,,86575,0.281,,,,,,,,
,,86675,0.498,,,,,,,,
,,86775,0.466,,,,,,,,
,,86875,0.516,,,,,,,,
,,86975,0.223,,,,,,,,
,,87075,0.388,,,,,,,,
,,87175,0.524,,,,,,,,
,,87275,0.342,,,,,,,,
,,87375,0.355,,,,,,,,
,,87476,0.297,,,,,,,,
,,87575,0.394,,,,,,,,
,,87675,0.391,,,,,,,,
,,87775,0.404,,,,,,,,
,,87875,0.326,,,,,,,,
,,87975,0.267,,,,,,,,
,,88075,0.296,,,,,,,,
,,88175,0.149,,,,,,,,
,,88275,0.254,,,,,,,,
,,88375,0.316,,,,,,,,
,,88475,0.379,,,,,,,,
,,88575,0.509,,,,,,,,
,,88659,0.478,,,,,,,,
,,88759,0.473,,,,,,,,
,,88859,0.35,,,,,,,,
,,88959,0.208,,,,,,,,
,,89059,0.36,,,,,,,,
,,89159,0.452,,,,,,,,
,,89259,0.017,,,,,,,,
,,89342,0.001,,,,,,,,
,,89442,-0.115,,,,,,,,
,,89542,-0.033,,,,,,,,
,,89642,-0.012,,,,,,,,
,,89742,0.298,,,,,,,,
,,89842,0.001,,,,,,,,
,,89942,0.04,,,,,,,,
,,90042,0.212,,,,,,,,
,,90142,0.45,,,,,,,,
,,90242,0.389,,,,,,,,
,,90342,0.14,,,,,,,,
,,90442,-0.019,,,,,,,,
,,90542,-0.144,,,,,,,,
,,90642,0.035,,,,,,,,
,,90742,-0.121,,,,,,,,
,,90842,-0.189,,,,,,,,
,,90942,-0.118,,,,,,,,
,,91042,-0.212,,,,,,,,
,,91142,-0.26,,,,,,,,
,,91242,-0.255,,,,,,,,
,,91342,-0.021,,,,,,,,
,,91442,-0.014,,,,,,,,
,,91542,-0.112,,,,,,,,
,,91642,-0.187,,,,,,,,
,,91742,-0.193,,,,,,,,
,,91842,-0.198,,,,,,,,
,,91942,0.056,,,,,,,,
,,92042,-0.004,,,,,,,,
,,92142,-0.158,,,,,,,,
,,92242,-0.113,,,,,,,,
,,92342,-0.031,,,,,,,,
,,92442,0.182,,,,,,,,
,,92542,0.493,,,,,,,,
,,92642,0.458,,,,,,,,
,,92742,0.552,,,,,,,,
,,92826,0.18,,,,,,,,
,,92926,0.086,,,,,,,,
,,93025,0.006,,,,,,,,
,,93126,-0.079,,,,,,,,
,,93226,-0.029,,,,,,,,
,,93326,-0.228,,,,,,,,
,,93426,-0.22,,,,,,,,
,,93525,-0.358,,,,,,,,
,,93626,-0.44,,,,,,,,
,,93726,-0.479,,,,,,,,
,,93809,-0.361,,,,,,,,
,,93909,-0.064,,,,,,,,
,,94009,0.088,,,,,,,,
,,94109,-0.019,,,,,,,,
,,94209,-0.05,,,,,,,,
,,94309,-0.217,,,,,,,,
,,94392,-0.356,,,,,,,,
,,94492,-0.187,,,,,,,,
,,94592,-0.137,,,,,,,,
,,94692,-0.045,,,,,,,,
,,94792,-0.228,,,,,,,,
,,94892,-0.311,,,,,,,,
,,94992,-0.419,,,,,,,,
,,95092,-0.453,,,,,,,,
,,95192,-0.322,,,,,,,,
,,95292,-0.198,,,,,,,,
,,95392,-0.34,,,,,,,,
,,95492,-0.449,,,,,,,,
,,95592,-0.338,,,,,,,,
,,95692,-0.244,,,,,,,,
,,95792,-0.046,,,,,,,,
,,95892,-0.037,,,,,,,,
,,95992,-0.022,,,,,,,,
,,96092,0.05,,,,,,,,
,,96192,0.012,,,,,,,,
,,96292,-0.054,,,,,,,,
,,96392,0.004,,,,,,,,
,,96492,0.159,,,,,,,,
,,96592,-0.048,,,,,,,,
,,96692,0.078,,,,,,,,
,,96792,-0.074,,,,,,,,
,,96892,0.044,,,,,,,,
,,96992,0.267,,,,,,,,
,,97092,0.191,,,,,,,,
,,97192,0.16,,,,,,,,
,,97292,0.132,,,,,,,,
,,97392,0.084,,,,,,,,
,,97492,0.027,,,,,,,,
,,97592,0.258,,,,,,,,
,,97692,-0.149,,,,,,,,
,,97792,-0.121,,,,,,,,
,,97892,-0.218,,,,,,,,
,,97992,-0.116,,,,,,,,
,,98076,-0.24,,,,,,,,
,,98176,-0.198,,,,,,,,
,,98276,-0.162,,,,,,,,
,,98359,-0.189,,,,,,,,
,,98459,-0.289,,,,,,,,
,,98559,-0.238,,,,,,,,
,,98642,-0.151,,,,,,,,
,,98742,-0.11,,,,,,,,
,,98826,-0.098,,,,,,,,
,,98926,-0.161,,,,,,,,
,,99026,-0.264,,,,,,,,
,,99126,-0.119,,,,,,,,
,,99226,-0.092,,,,,,,,
,,99326,0.038,,,,,,,,
,,99426,-0.107,,,,,,,,
,,99526,-0.146,,,,,,,,
,,99626,-0.295,,,,,,,,
,,99726,0.027,,,,,,,,
,,99826,-0.132,,,,,,,,
,,99926,-0.106,,,,,,,,
,,100026,-0.213,,,,,,,,
,,100126,-0.122,,,,,,,,
,,100226,-0.147,,,,,,,,
,,100309,0.007,,,,,,,,
,,100392,-0.056,,,,,,,,
,,100476,-0.076,,,,,,,,
,,100576,0.047,,,,,,,,
,,100659,-0.0,,,,,,,,
,,100759,-0.001,,,,,,,,
,,100859,0.131,,,,,,,,
,,100959,0.093,,,,,,,,
,,101059,0.231,,,,,,,,
,,101159,0.269,,,,,,,,
,,101259,0.285,,,,,,,,
,,101359,-0.021,,,,,,,,
,,101459,-0.08,,,,,,,,
,,101559,0.122,,,,,,,,
,,101659,0.273,,,,,,,,
,,101759,-0.269,,,,,,,,
,,101859,-0.166,,,,,,,,
,,101959,-0.159,,,,,,,,
,,102059,-0.024,,,,,,,,
,,102159,0.253,,,,,,,,
,,102259,0.489,,,,,,,,
,,102359,0.449,,,,,,,,
,,102459,0.296,,,,,,,,
,,102559,-0.128,,,,,,,,
,,102659,-0.069,,,,,,,,
,,102759,0.097,,,,,,,,
,,102859,0.061,,,,,,,,
,,102959,0.399,,,,,,,,
,,103059,0.38,,,,,,,,
,,103159,0.331,,,,,,,,
,,103259,-0.076,,,,,,,,
,,103359,-0.206,,,,,,,,
,,103459,-0.235,,,,,,,,
,,103559,-0.009,,,,,,,,
,,103643,-0.085,,,,,,,,
,,103743,0.15,,,,,,,,
,,103843,0.517,,,,,,,,
,,103926,0.553,,,,,,,,
,,104026,0.126,,,,,,,,
,,104126,0.008,,,,,,,,
,,104212,-0.895,,,,,,,,
,,104304,-0.598,,,,,,,,
,,104404,-1.163,,,,,,,,
,,104470,-0.796,,,,,,,,
,,104569,0.052,,,,,,,,
,,104669,-0.124,,,,,,,,
,,104753,0.092,,,,,,,,
,,104853,0.104,,,,,,,,
,,104953,-0.182,,,,,,,,
,,105036,-0.299,,,,,,,,
,,105136,-0.167,,,,,,,,
,,105236,-0.451,,,,,,,,
,,105336,-0.583,,,,,,,,
,,105436,-0.611,,,,,,,,
,,105519,-0.679,,,,,,,,
,,105620,-0.561,,,,,,,,
,,105719,-0.27,,,,,,,,
,,105819,-0.098,,,,,,,,
,,105919,0.066,,,,,,,,
,,106019,-0.018,,,,,,,,
,,106119,0.045,,,,,,,,
,,106219,-0.059,,,,,,,,
,,106319,-0.072,,,,,,,,
,,106419,-0.138,,,,,,,,
,,106520,-0.011,,,,,,,,
,,106619,0.091,,,,,,,,
,,106719,0.123,,,,,,,,
,,106819,0.049,,,,,,,,
,,106919,-0.16,,,,,,,,
,,107019,-0.019,,,,,,,,
,,107119,0.013,,,,,,,,
,,107219,0.123,,,,,,,,
,,107319,-0.018,,,,,,,,
,,107419,-0.011,,,,,,,,
,,107519,-0.014,,,,,,,,
,,107603,0.002,,,,,,,,
,,107686,-0.098,,,,,,,,
,,107786,0.002,,,,,,,,
,,107886,-0.002,,,,,,,,
,,107986,-0.157,,,,,,,,
,,108086,-0.201,,,,,,,,
,,108186,-0.045,,,,,,,,
,,108286,0.151,,,,,,,,
,,108386,-0.005,,,,,,,,
,,108486,-0.009,,,,,,,,
,,108586,0.043,,,,,,,,
,,108686,0.124,,,,,,,,
,,108786,-0.151,,,,,,,,
,,108886,-0.153,,,,,,,,
,,108986,-0.109,,,,,,,,
,,109086,-0.186,,,,,,,,
,,109186,-0.231,,,,,,,,
,,109286,-0.026,,,,,,,,
,,109386,-0.097,,,,,,,,
,,109486,-0.172,,,,,,,,
,,109586,-0.173,,,,,,,,
,,109686,-0.108,,,,,,,,
,,109786,-0.279,,,,,,,,
,,109870,-0.378,,,,,,,,
,,109970,-0.403,,,,,,,,
,,110070,-0.176,,,,,,,,
,,110153,-0.238,,,,,,,,
,,110253,-0.181,,,,,,,,
,,110353,-0.178,,,,,,,,
,,110436,-0.099,,,,,,,,
,,110536,-0.302,,,,,,,,
,,110636,-0.188,,,,,,,,
,,110736,-0.206,,,,,,,,
,,110836,-0.256,,,,,,,,
,,110919,-0.236,,,,,,,,
,,111020,-0.229,,,,,,,,
,,111119,-0.117,,,,,,,,
,,111220,0.007,,,,,,,,
,,111319,-0.107,,,,,,,,
,,111420,-0.237,,,,,,,,
,,111520,-0.409,,,,,,,,
,,111620,-0.253,,,,,,,,
,,111720,-0.017,,,,,,,,
,,111820,-0.251,,,,,,,,
,,111920,-0.469,,,,,,,,
,,112020,-0.31,,,,,,,,
,,112120,-0.286,,,,,,,,
,,112220,-0.216,,,,,,,,
,,112320,-0.228,,,,,,,,
,,112420,-0.102,,,,,,,,
,,112520,-0.117,,,,,,,,
,,112620,-0.197,,,,,,,,
,,112720,-0.077,,,,,,,,
,,112820,-0.176,,,,,,,,
,,112920,-0.161,,,,,,,,
,,113020,-0.09,,,,,,,,
,,113120,-0.126,,,,,,,,
,,113220,0.04,,,,,,,,
,,113320,-0.029,,,,,,,,
,,113420,0.129,,,,,,,,
,,113503,0.084,,,,,,,,
,,113603,-0.005,,,,,,,,
,,113686,0.168,,,,,,,,
,,113786,0.013,,,,,,,,
,,113887,-0.019,,,,,,,,
,,113986,0.113,,,,,,,,
,,114086,0.284,,,,,,,,
,,114186,0.206,,,,,,,,
,,114286,0.022,,,,,,,,
,,114387,0.151,,,,,,,,
,,114486,-0.04,,,,,,,,
,,114586,0.041,,,,,,,,
,,114686,-0.043,,,,,,,,
,,114786,-0.142,,,,,,,,
,,114887,0.041,,,,,,,,
,,114986,0.005,,,,,,,,
,,115086,0.037,,,,,,,,
,,115186,0.039,,,,,,,,
,,115287,0.435,,,,,,,,
,,115370,0.225,,,,,,,,
,,115470,0.256,,,,,,,,
,,115570,0.249,,,,,,,,
,,115670,0.296,,,,,,,,
,,115770,0.249,,,,,,,,
,,115870,0.224,,,,,,,,
,,115970,0.043,,,,,,,,
,,116070,0.172,,,,,,,,
,,116170,-0.046,,,,,,,,
,,116270,0.147,,,,,,,,
,,116370,-0.013,,,,,,,,
,,116470,0.104,,,,,,,,
,,116570,0.138,,,,,,,,
,,116670,0.076,,,,,,,,
,,116770,0.056,,,,,,,,
,,116870,-0.054,,,,,,,,
,,116970,-0.006,,,,,,,,
,,117070,-0.173,,,,,,,,
,,117170,-0.241,,,,,,,,
,,117270,-0.083,,,,,,,,
,,117370,0.059,,,,,,,,
,,117470,-0.01,,,,,,,,
,,117570,0.032,,,,,,,,
,,117670,0.05,,,,,,,,
,,117770,-0.012,,,,,,,,
,,117870,-0.002,,,,,,,,
,,117970,-0.056,,,,,,,,
,,118070,-0.055,,,,,,,,
,,118170,0.237,,,,,,,,
,,118270,0.058,,,,,,,,
,,118370,0.267,,,,,,,,
,,118470,0.041,,,,,,,,
,,118570,-0.126,,,,,,,,
,,118670,-0.502,,,,,,,,
,,118770,-0.654,,,,,,,,
,,118870,-0.557,,,,,,,,
,,118970,-0.526,,,,,,,,
,,119070,-0.254,,,,,,,,
,,119170,-0.302,,,,,,,,
,,119253,-0.241,,,,,,,,
,,119353,-0.162,,,,,,,,
,,119453,-0.307,,,,,,,,
,,119536,-0.195,,,,,,,,
,,119636,-0.292,,,,,,,,
,,119720,-0.082,,,,,,,,
,,119820,-0.189,,,,,,,,
,,119920,-0.18,,,,,,,,
,,120020,-0.028,,,,,,,,
,,120120,0.173,,,,,,,,
,,120220,0.114,,,,,,,,
,,120320,0.009,,,,,,,,
,,120420,0.203,,,,,,,,
,,120520,0.025,,,,,,,,
,,120620,-0.26,,,,,,,,
,,120720,-0.113,,,,,,,,
,,120820,-0.184,,,,,,,,
,,120920,-0.1,,,,,,,,
,,121003,-0.084,,,,,,,,
,,121103,-0.049,,,,,,,,
,,121203,-0.113,,,,,,,,
,,121287,0.012,,,,,,,,
,,121387,-0.123,,,,,,,,
,,121470,-0.039,,,,,,,,
,,121570,0.086,,,,,,,,
,,121670,0.094,,,,,,,,
,,121753,-0.104,,,,,,,,
,,121853,0.065,,,,,,,,
,,121953,0.002,,,,,,,,
,,122053,0.078,,,,,,,,
